HelperLipid,mRNA,siRNA,Total
DOPE,1780,121,1901
DSPC,115,676,791
DOTAP,352,12,364
18:1 Lyso PC,118,76,194
DOTMA,140,12,152
DOPC,45,12,57
18:1 Monomethyl PE,32,12,44
18:1 CAP PE,32,12,44
18:1 Dimethyl PE,32,12,44
18:0 DDAB,24,12,36
18:1 EPC,24,0,24
18:1 Lyso,16,0,16
KB-6,0,16,16
KB-5,0,16,16
KB-3,0,16,16
KB-1,0,16,16
KB-8,0,16,16
KB-4,0,16,16
KB-7,0,16,16
KB-2,0,15,15
gan-3-14,0,12,12
gan-3-20,0,12,12
gan-3-13,0,12,12
gan-3-11,0,12,12
gan-3-5,0,12,12
gan-3-6,0,12,12
gan-3-10,0,12,12
gan-3-7,0,12,12
gan-3-8,0,12,12
gan-3-9,0,12,12
18:1 Diether PC,0,12,12
DDAB,12,0,12
18:1 PS(DOPS),8,0,8
18:1 (Δ9-Cis) PG,8,0,8
18:1 Lyso PE,8,0,8
Biotinyl PE,8,0,8
18:1 Phosphatidylpropanol,8,0,8
18:1 Phosphatidylmethanol,8,0,8
18:1 Phosphatidylethanol,8,0,8
18:1 PA,8,0,8
