Cholesterol,mRNA,siRNA,Total
cholesterol,2041,976,3017
20a-OH,408,56,464
DC cholesterol HCL,72,0,72
GL67,72,0,72
Cholesteryl Oleate,0,64,64
beta-Sitosterol,0,40,40
25-OH,20,0,20
7B-OH cholesterol,20,0,20
MH-02,0,16,16
MH-08,0,16,16
MH-07,0,16,16
MH-06,0,16,16
MH-01,0,16,16
27-OH,15,0,15
Campesterol,14,0,14
DHEA,14,0,14
Desmosterol,14,0,14
Lathosterol,14,0,14
Lanosterol,14,0,14
Stigmasterol,14,0,14
Pregnenolone,14,0,14
7b-25-dihydroxy,10,0,10
7A-OH cholesterol,10,0,10
6-keto-5a-OH,10,0,10
7-keto,10,0,10
