Lipomer,mRNA,siRNA,Total
7C1,475,300,775
cKK-E12,432,0,432
gan-1-38,317,44,361
gan-2-2,8,176,184
gan-1-68,65,44,109
KB-6,24,16,40
KB-7,24,16,40
KB-4,24,16,40
KB-5,24,16,40
KB-1,24,16,40
KB-3,24,16,40
KB-2,24,15,39
KB-8,23,16,39
KB-15,34,0,34
KB-16,30,0,30
KB-12,30,0,30
KB-11,26,0,26
gan-2-178,0,24,24
gan-2-167,0,24,24
gan-2-180,0,24,24
gan-2-179,0,24,24
gan-2-181,0,24,24
HZ-82,8,12,20
KZ-15,8,12,20
KC-59,18,0,18
KC-60,18,0,18
KC-58,18,0,18
KC-62,18,0,18
KC-63,18,0,18
KC-61,18,0,18
gan-1-49,17,0,17
HZ-378,16,0,16
HZ-382,16,0,16
KB-13,16,0,16
KB-14,16,0,16
gan-2-8,8,8,16
gan-2-7,8,8,16
gan-2-59,16,0,16
gan-2-9,8,8,16
gan-2-10,8,8,16
gan-2-13,8,8,16
gan-2-3,8,8,16
gan-2-5,8,8,16
gan-1-47,16,0,16
gan-1-33,8,8,16
HZ-381,16,0,16
HZ-380,16,0,16
HZ-376,16,0,16
HZ-379,16,0,16
KB-10,16,0,16
KB-09,16,0,16
80,16,0,16
83,16,0,16
88,16,0,16
90,16,0,16
HZ-375,16,0,16
HZ-374,16,0,16
73,16,0,16
78,16,0,16
gan-1-46,16,0,16
gan-1-105,8,8,16
gan-1-107,8,8,16
gan-2-6,8,7,15
gan-1-48,14,0,14
gan-1-106,8,6,14
KZ-13,0,12,12
KZ-10,0,12,12
gan-2-153,12,0,12
gan-2-156,12,0,12
gan-2-157,12,0,12
KZ-14,0,12,12
KZ-12,0,12,12
KZ-11,0,12,12
KC-38,12,0,12
KC-39,12,0,12
HZ-93,0,12,12
HZ-89,0,12,12
HZ-76,0,12,12
HZ-83,0,12,12
HZ-88,0,12,12
HZ-94,0,12,12
KC-34,12,0,12
KC-35,12,0,12
gan-2-131,12,0,12
cKK-E15,12,0,12
KC-41,12,0,12
KC-37,12,0,12
KC-36,12,0,12
KC-32,12,0,12
KZ-16,0,12,12
KZ-9,0,12,12
gan-2-158,12,0,12
gan-2-152,12,0,12
gan-2-154,12,0,12
gan-2-155,12,0,12
KB-114,8,0,8
KB-113,8,0,8
KB-108,8,0,8
KB-115,8,0,8
HZ-102,8,0,8
HZ-249,8,0,8
KB-112,8,0,8
KB-111,8,0,8
KB-110,8,0,8
KB-109,8,0,8
gan-2-44-p1,8,0,8
gan-2-42,8,0,8
KZ-22,8,0,8
KZ-23,8,0,8
KZ-24,8,0,8
KZ-25,8,0,8
KZ-26,8,0,8
KZ-27,8,0,8
KZ-28,8,0,8
KZ-8,8,0,8
gan-2-55,8,0,8
gan-2-52,8,0,8
KZ-21,8,0,8
KZ-20,8,0,8
KZ-17,8,0,8
KZ-1,8,0,8
KZ-19,8,0,8
KZ-18,8,0,8
gan-2-77,8,0,8
gan-2-44-p2,8,0,8
gan-2-69,8,0,8
gan-2-67,8,0,8
gan-2-56,8,0,8
gan-2-51,8,0,8
gan-2-19,8,0,8
gan-2-78,8,0,8
gan-2-30,8,0,8
gan-2-74,7,0,7
gan-2-132,4,0,4
gan-2-130,4,0,4
gan-2-128,4,0,4
gan-2-129,4,0,4
gan-2-126,4,0,4
gan-2-127,4,0,4
gan-2-101,0,4,4
gan-2-100,0,4,4
gan-2-108,0,4,4
gan-2-107,0,4,4
gan-2-106,0,4,4
gan-2-104,0,4,4
gan-2-103,0,4,4
gan-2-102,0,4,4
gan-2-123,4,0,4
gan-2-122,4,0,4
gan-2-125,4,0,4
gan-2-124,4,0,4
gan-2-121,4,0,4
gan-2-120,4,0,4
gan-2-109-p3,4,0,4
gan-2-118,4,0,4
gan-2-144,4,0,4
gan-2-133,4,0,4
gan-2-197,0,4,4
gan-2-196,0,4,4
gan-2-194,0,4,4
gan-2-193,0,4,4
gan-2-185,0,4,4
gan-2-188,0,4,4
gan-2-182,0,4,4
gan-2-183,0,4,4
gan-2-184,0,4,4
gan-2-148,4,0,4
gan-2-145,4,0,4
gan-2-146,4,0,4
gan-2-147,4,0,4
gan-2-166,0,4,4
gan-2-149,4,0,4
gan-2-198,0,4,4
gan-2-195,0,4,4
gan-2-87,0,4,4
gan-2-94,0,4,4
gan-2-95,0,4,4
gan-2-96,0,4,4
gan-2-97,0,4,4
gan-2-98,0,4,4
gan-2-99,0,4,4
gan-3-22,0,4,4
gan-3-23,0,4,4
gan-3-27,0,4,4
gan-3-28,0,4,4
gan-3-29,0,4,4
gan-3-30,0,4,4
