index,auc,accuracy,params,iteration
72,0.7264577614385409,0.7511008190327614,"{'eta': 0.2, 'max_depth': 8, 'gamma': 0.1, 'alpha': 5, 'lambda': 0.5, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",72
61,0.7254368729895615,0.7432912441497661,"{'eta': 0.01, 'max_depth': 9, 'gamma': 0.4, 'alpha': 1e-05, 'lambda': 0.1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",61
98,0.7250730825732192,0.7476672191887676,"{'eta': 0.07, 'max_depth': 9, 'gamma': 0.0, 'alpha': 5, 'lambda': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",98
49,0.7243066103168675,0.747661856474259,"{'eta': 0.05, 'max_depth': 9, 'gamma': 0.2, 'alpha': 0.5, 'lambda': 1e-05, 'subsample': 0.7, 'colsample_bytree': 0.6, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",49
11,0.7239013152725934,0.7517233814352574,"{'eta': 0.1, 'max_depth': 7, 'gamma': 0.1, 'alpha': 0.01, 'lambda': 1, 'subsample': 0.9, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",11
79,0.7236093717437956,0.7504748439937597,"{'eta': 0.05, 'max_depth': 7, 'gamma': 0.2, 'alpha': 0.5, 'lambda': 0.01, 'subsample': 0.9, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",79
47,0.7233099519532489,0.7498483814352574,"{'eta': 0.2, 'max_depth': 7, 'gamma': 0.4, 'alpha': 0.5, 'lambda': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",47
82,0.7232400059974919,0.747036856474259,"{'eta': 0.2, 'max_depth': 7, 'gamma': 0.0, 'alpha': 5, 'lambda': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",82
18,0.7230791233567725,0.7517228939157566,"{'eta': 0.05, 'max_depth': 9, 'gamma': 0.4, 'alpha': 0.5, 'lambda': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",18
55,0.7230542574202736,0.7498503315132605,"{'eta': 0.07, 'max_depth': 5, 'gamma': 0.3, 'alpha': 0.1, 'lambda': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",55
92,0.7229090175795475,0.7517238689547583,"{'eta': 0.05, 'max_depth': 9, 'gamma': 0.0, 'alpha': 0.01, 'lambda': 0.5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'min_child_weight': 1, 'verbosity': 0, 'nthread': 6, 'eval_metric': 'auc', 'seed': 15, 'scale_pos_weight': 3}",92
