feature_set,metric,point,low95,high95
bulk,ROC_AUC,0.6780170641447368,0.6337913111636514,0.7212910970052083
bulk,PR_AUC,0.8593707460037927,0.8350534043537561,0.8823682492808014
bulk,Accuracy,0.75875,0.74,0.7762812499999999
bulk,Balanced_Accuracy,0.5615405701754386,0.5338541666666666,0.5910087719298246
bulk,Sensitivity,0.9407894736842105,0.9210526315789473,0.9588815789473685
bulk,Specificity,0.18229166666666666,0.125,0.23958333333333334
bulk,Precision,0.7846364883401921,0.7734056987788331,0.7969412440308231
bulk,F1,0.8556469708302169,0.8436763186950174,0.8668708122177523
mordred,ROC_AUC,0.7769025836074561,0.7400397049753291,0.8139000608209978
mordred,PR_AUC,0.9074529519815434,0.8858380444744012,0.9282291303461631
mordred,Accuracy,0.79625,0.77875,0.81375
mordred,Balanced_Accuracy,0.607593202,0.5772786458333333,0.6362595942982456
mordred,Sensitivity,0.9703947368421053,0.9555921052631579,0.9819490131578947
mordred,Specificity,0.24479166666666666,0.1875,0.3020833333333333
mordred,Precision,0.8027210884353742,0.7903101653927538,0.8150246510958706
mordred,F1,0.8786299329858526,0.8686567164179104,0.8887270765911542
sapt,ROC_AUC,0.7429584703947368,0.7027179918791118,0.779737185
sapt,PR_AUC,0.8950869337524345,0.8771068751068257,0.912578169
sapt,Accuracy,0.77625,0.755,0.7975
sapt,Balanced_Accuracy,0.6051260964912281,0.5734546326754386,0.638843202
sapt,Sensitivity,0.9342105263157895,0.9111842105263158,0.9523026315789473
sapt,Specificity,0.2760416666666667,0.21875,0.3385416666666667
sapt,Precision,0.8033946251768034,0.7902059266700151,0.8180515759312321
sapt,F1,0.8638783269961977,0.8508362942078657,0.8765290887069829
